Wall time,Step,Value
1715932939.1611648,328,0.1321580410003662
1715933036.905129,657,0.2022913098335266
1715933134.6855445,986,0.3489393889904022
1715933232.308622,1315,0.40081512928009033
1715933327.833282,1644,0.419674813747406
1715933423.5183344,1973,0.4431564509868622
1715933519.4076498,2302,0.44689270853996277
1715933616.9631705,2631,0.45322296023368835
1715933710.5666323,2960,0.4601522386074066
1715933804.1044295,3289,0.464213490486145
1715933899.5375786,3618,0.4640187621116638
1715934000.19257,3947,0.46517106890678406
1715934097.484191,4276,0.47607865929603577
1715934194.0532072,4605,0.47902876138687134
1715934292.793016,4934,0.48953619599342346
1715934389.361212,5263,0.49518853425979614
1715934485.9691448,5592,0.4963930547237396
1715934581.8645926,5921,0.5031677484512329
1715934678.6682663,6250,0.5006762742996216
1715934773.4148629,6579,0.496568888425827
1715934866.9794128,6908,0.4935448169708252
1715934959.611277,7237,0.4963197708129883
1715935052.932095,7566,0.501366913318634
1715935146.0061405,7895,0.5016522407531738
1715935239.14607,8224,0.5048291087150574
1715935332.2700503,8553,0.5100173354148865
1715935425.1387672,8882,0.5170192718505859
1715935518.4841475,9211,0.5141119956970215
1715935611.673905,9540,0.5200974345207214
1715935708.5528479,9869,0.5171557664871216
1715935804.2887716,10198,0.5048007965087891
1715935901.0811048,10527,0.5028573274612427
1715935997.134168,10856,0.5047221183776855
1715936093.6204534,11185,0.5084695219993591
1715936191.6869044,11514,0.5175849795341492
1715936288.0220788,11843,0.5179092884063721
1715936384.0237386,12172,0.5237740278244019
1715936480.005896,12501,0.5252350568771362
1715936576.209012,12830,0.5194917917251587
1715936671.740867,13159,0.5303648710250854
