Wall time,Step,Value
1715932939.1610637,328,0.37253010272979736
1715933036.9050376,657,0.1786501258611679
1715933134.6854446,986,0.14079709351062775
1715933232.308524,1315,0.13312698900699615
1715933327.833208,1644,0.12434517592191696
1715933423.51825,1973,0.12115119397640228
1715933519.4075577,2302,0.1183796226978302
1715933616.9630837,2631,0.11713635176420212
1715933710.56655,2960,0.11421569436788559
1715933804.1043632,3289,0.1165895164012909
1715933899.5374892,3618,0.11586999148130417
1715934000.1924589,3947,0.11357197165489197
1715934097.484101,4276,0.11103444546461105
1715934194.053112,4605,0.10813779383897781
1715934292.7929492,4934,0.10829253494739532
1715934389.3611157,5263,0.10539864003658295
1715934485.969059,5592,0.10557007789611816
1715934581.8644962,5921,0.10442468523979187
1715934678.6681561,6250,0.10307035595178604
1715934773.414759,6579,0.10390753298997879
1715934866.97933,6908,0.10587683320045471
1715934959.611193,7237,0.1041017696261406
1715935052.9319766,7566,0.10511299967765808
1715935146.0060575,7895,0.10357724130153656
1715935239.1459835,8224,0.10282403230667114
1715935332.2699668,8553,0.10025826841592789
1715935425.1386814,8882,0.0999922975897789
1715935518.4840505,9211,0.09999804198741913
1715935611.6738133,9540,0.10056470334529877
1715935708.5527663,9869,0.09920600801706314
1715935804.2886744,10198,0.10286329686641693
1715935901.081017,10527,0.10274457931518555
1715935997.1340601,10856,0.10256357491016388
1715936093.620381,11185,0.10086119920015335
1715936191.6868167,11514,0.10093333572149277
1715936288.021987,11843,0.10044960677623749
1715936384.0236385,12172,0.10012023895978928
1715936480.0057864,12501,0.09908248484134674
1715936576.208919,12830,0.1002349704504013
1715936671.7407897,13159,0.09868522733449936
