Wall time,Step,Value
1715915816.3521147,328,0.3605569303035736
1715915934.793131,657,0.18680202960968018
1715916054.5237029,986,0.14562110602855682
1715916174.619274,1315,0.12885154783725739
1715916290.787818,1644,0.12283702194690704
1715916402.7767642,1973,0.11696483939886093
1715916525.0036619,2302,0.1127050444483757
1715916644.0286725,2631,0.11177380383014679
1715916764.046821,2960,0.10871319472789764
1715916882.644231,3289,0.10905002057552338
1715917003.4441948,3618,0.11438485234975815
1715917124.3861866,3947,0.10907355695962906
1715917241.6422799,4276,0.10679464787244797
1715917358.8868306,4605,0.10542728751897812
1715917476.2029986,4934,0.10332093387842178
1715917593.3660173,5263,0.1007319912314415
1715917710.6158495,5592,0.10036782920360565
1715917827.9300454,5921,0.09886918216943741
1715917945.2086852,6250,0.09866490960121155
1715918062.5630977,6579,0.09769919514656067
1715918179.740347,6908,0.10358104854822159
1715918296.9024932,7237,0.10245746374130249
1715918414.2642217,7566,0.10161402076482773
1715918531.5032978,7895,0.10126227140426636
1715918648.62185,8224,0.09922850131988525
1715918765.8131313,8553,0.0978386327624321
1715918883.1321254,8882,0.0977630615234375
1715919000.1696002,9211,0.09710132330656052
1715919117.4904091,9540,0.09575029462575912
1715919234.5005915,9869,0.09650392830371857
1715919351.7906272,10198,0.10133636742830276
1715919469.0491617,10527,0.10026182979345322
1715919586.3378146,10856,0.10201579332351685
1715919703.5237324,11185,0.10156318545341492
1715919820.5956075,11514,0.10020717233419418
1715919937.7005608,11843,0.09895668923854828
1715920054.9679925,12172,0.09864243119955063
1715920172.255601,12501,0.09869702905416489
1715920289.3689091,12830,0.09765090048313141
1715920406.4699068,13159,0.09792668372392654
