Wall time,Step,Value
1715915816.3522048,328,0.08016381412744522
1715915934.793205,657,0.14361023902893066
1715916054.5237885,986,0.30394265055656433
1715916174.6193528,1315,0.39437344670295715
1715916290.787909,1644,0.43252789974212646
1715916402.7768755,1973,0.4554164409637451
1715916525.0037794,2302,0.4730079770088196
1715916644.0287607,2631,0.48279324173927307
1715916764.0469103,2960,0.48351699113845825
1715916882.644319,3289,0.48304176330566406
1715917003.4442892,3618,0.4713529646396637
1715917124.3863091,3947,0.48416367173194885
1715917241.6423702,4276,0.48945850133895874
1715917358.8869247,4605,0.5054559707641602
1715917476.2030892,4934,0.5145131349563599
1715917593.3661158,5263,0.5193452835083008
1715917710.6159463,5592,0.5336835980415344
1715917827.9301336,5921,0.5367332696914673
1715917945.208771,6250,0.5338097214698792
1715918062.5631852,6579,0.5340213179588318
1715918179.7404442,6908,0.5141640305519104
1715918296.9025862,7237,0.5257726907730103
1715918414.2643116,7566,0.5146804451942444
1715918531.5034182,7895,0.5248642563819885
1715918648.6219614,8224,0.5342233180999756
1715918765.8132393,8553,0.5361186265945435
1715918883.132249,8882,0.5337594747543335
1715919000.1696959,9211,0.5368018746376038
1715919117.4905005,9540,0.5494216084480286
1715919234.5006833,9869,0.537975549697876
1715919351.7907207,10198,0.5215163826942444
1715919469.0492604,10527,0.528070330619812
1715919586.3379118,10856,0.519375205039978
1715919703.523833,11185,0.5304163098335266
1715919820.5957031,11514,0.5321505069732666
1715919937.700663,11843,0.5387511849403381
1715920054.9680867,12172,0.5411974787712097
1715920172.2557251,12501,0.5447058081626892
1715920289.369001,12830,0.5461598038673401
1715920406.4699967,13159,0.5438080430030823
